indx;phi_xy;phi_yz;phi_xz;magn_2
0;2.817830085;-0.782053661;0.321750545;1813.273437500
1;2.819842147;-0.778709316;0.317758560;1811.419921875
2;2.821870613;-0.777023220;0.314757680;1803.832763671
3;2.818818569;-0.768621253;0.312813377;1798.464111328
4;2.820859432;-0.770374250;0.311849856;1815.588134765
5;2.819842338;-0.761912536;0.307917404;1797.052368164
6;2.818808078;-0.758559036;0.306973314;1797.340576171
7;2.819842147;-0.755104446;0.304000949;1784.384765625
8;2.820880699;-0.755206060;0.303070330;1795.813476562
9;2.826105117;-0.753476238;0.297124977;1786.622314453
10;2.818786144;-0.743264627;0.298271465;1778.295776367
11;2.823003292;-0.745016098;0.295312042;1781.945312500
12;2.817700862;-0.734594440;0.294413614;1760.758789062
13;2.816619873;-0.734421920;0.295312042;1749.445312500
14;2.826307487;-0.731213951;0.284658222;1756.023925781
15;2.826307487;-0.732815074;0.285527439;1750.059936523
16;2.816584777;-0.724250030;0.289691562;1749.550903320
17;2.814436912;-0.726045227;0.292632579;1756.657958984
18;2.814377784;-0.720642471;0.289691562;1738.986572265
19;2.816584777;-0.724250030;0.289691562;1749.550903320
20;2.820937347;-0.719056129;0.282935123;1741.454833984
21;2.828594684;-0.720862007;0.277033329;1743.270019531
22;2.818739700;-0.717011833;0.283794116;1724.964843750
23;2.824228096;-0.719056129;0.279986667;1739.716552734
24;2.816512584;-0.710197734;0.282081146;1726.578125000
25;2.826523590;-0.710197734;0.273244953;1721.420898437
26;2.826523590;-0.708626270;0.272419810;1727.461669921
27;2.826523590;-0.708626270;0.272419810;1727.461669921
28;2.826523590;-0.707060432;0.271599578;1733.521728515
29;2.814255714;-0.701832532;0.279549145;1734.424804687
30;2.820974540;-0.696287679;0.270784139;1713.910644531
31;2.819842338;-0.692879581;0.269973468;1714.928588867
32;2.823255062;-0.691337013;0.266252040;1719.365600585
33;2.824429321;-0.687604379;0.263331937;1707.600585937
34;2.819842147;-0.684196043;0.265458631;1710.376220703
35;2.814127922;-0.686069774;0.271269202;1718.779785156
36;2.821001052;-0.678906059;0.261765432;1704.882812500
37;2.815180301;-0.673603630;0.263885498;1702.808349609
38;2.822178649;-0.672092437;0.257323718;1705.699096679
39;2.816317081;-0.666786623;0.259449434;1703.720703125
40;2.813854217;-0.657185506;0.256563925;1677.828369140
41;2.830594539;-0.659550285;0.244254565;1687.326660156
42;2.819842338;-0.658063173;0.252183151;1698.332885742
43;2.819842147;-0.650800228;0.248573207;1688.565429687
44;2.823461055;-0.649329090;0.244978666;1693.271606445
45;2.817415046;-0.645449447;0.247846031;1685.329223632
46;2.812453269;-0.636166286;0.247123050;1672.815185546
47;2.819842147;-0.634716558;0.240696024;1675.994018554
48;2.811189651;-0.629870033;0.244978666;1687.201904296
49;2.816096782;-0.627357673;0.239996480;1668.426025390
50;2.813631057;-0.626471138;0.241442632;1687.365112304
51;2.818587493;-0.622518348;0.235772109;1675.033447265
52;2.817291259;-0.613133192;0.232258510;1661.703125000
53;2.813472747;-0.613133192;0.235091996;1663.230102539
54;2.814700889;-0.606318092;0.230924797;1665.583129882
55;2.816000938;-0.608325004;0.230924797;1670.068115234
56;2.823743343;-0.600900697;0.221808648;1658.668457031
57;2.817224502;-0.595475292;0.223988056;1657.784912109
58;2.818521308;-0.591408634;0.221173644;1647.556640625
59;2.815900039;-0.592075872;0.223349094;1659.897705078
60;2.813219833;-0.586643886;0.222713732;1657.698364257
61;2.814565181;-0.587325572;0.222081899;1668.589355468
62;2.819842147;-0.577096414;0.213695406;1642.677734375
63;2.807729721;-0.575758266;0.221453595;1653.587768554
64;2.818485260;-0.571043586;0.211887311;1658.159179687
65;2.808973121;-0.568983173;0.217437434;1656.805053710
66;2.815738201;-0.566917324;0.211887311;1649.707763671
67;2.812945842;-0.561460208;0.211291289;1647.950195312
68;2.815681457;-0.559380578;0.208518576;1642.379882812
69;2.810106754;-0.555997133;0.210698556;1646.288940429
70;2.811415481;-0.550528621;0.207350969;1643.311645507
71;2.814192581;-0.547153377;0.204017972;1644.512084960
72;2.818427848;-0.547153377;0.201260805;1643.138671875
73;2.815562725;-0.541682672;0.200699520;1641.726928710
74;2.812648010;-0.536207151;0.200141286;1640.411132812
75;2.818407535;-0.539576339;0.197946529;1636.348632812
76;2.812543106;-0.528605699;0.196847620;1633.890014648
77;2.818386554;-0.530727434;0.194106092;1636.502197265
78;2.818365097;-0.523114299;0.190831108;1630.154052734
79;2.813942432;-0.521887540;0.193033552;1638.240600585
80;2.813942432;-0.521887540;0.193033552;1638.240600585
81;2.810913848;-0.517619419;0.193033552;1630.480590820
82;2.803351879;-0.512121200;0.195221662;1630.922241210
83;2.812323570;-0.512121200;0.189778747;1628.271484375
84;2.810779094;-0.508771133;0.189256839;1631.268188476
85;2.803101062;-0.504463768;0.191972618;1625.015991210
86;2.813763141;-0.505427455;0.186026268;1633.006591796
87;2.812090396;-0.495610237;0.182809886;1623.594482421
88;2.816736698;-0.495610237;0.180099973;1622.336425781
89;2.813572692;-0.491264915;0.180099973;1614.960571289
90;2.808887958;-0.491264915;0.182809886;1616.218750000
91;2.816687583;-0.487925434;0.176902198;1616.929443359
92;2.794531106;-0.482409191;0.187197322;1621.625732421
93;2.811842441;-0.479081916;0.175939631;1619.858642578
94;2.802015781;-0.471373748;0.178146610;1617.332763671
95;2.808534145;-0.474696922;0.175939631;1612.713134765
96;2.816584777;-0.471373748;0.170085802;1613.673583984
97;2.811712265;-0.470255470;0.172307395;1621.817626953
98;2.806641578;-0.462545108;0.171842026;1618.264160156
99;2.808156490;-0.458122825;0.169166517;1610.148803710
100;2.818167209;-0.457032489;0.163366136;1614.787841796
101;2.816475105;-0.453736019;0.162926435;1618.360473632
102;2.794637441;-0.450447034;0.173113107;1626.735107421
103;2.801105022;-0.446008872;0.167805886;1617.553710937
104;2.816417503;-0.446008872;0.159827232;1614.067382812
105;2.797470808;-0.439449930;0.166910781;1624.968017578
106;2.814588356;-0.434989547;0.156322789;1613.750488281
107;2.798939228;-0.434989547;0.164267230;1617.179077148
108;2.809353065;-0.434989547;0.158973207;1614.874145507
109;2.805708885;-0.430510568;0.158973207;1608.343505859
110;2.804136753;-0.433953380;0.161190915;1623.095092773
111;2.818078517;-0.431720161;0.153260207;1616.449218750
112;2.803857803;-0.427239847;0.158549571;1612.184936523
113;2.801986885;-0.424992847;0.158549571;1608.967651367
114;2.798184871;-0.419477510;0.158128190;1609.687866210
115;2.807092475;-0.416221857;0.152446794;1611.416625976
116;2.807092475;-0.416221857;0.152446794;1611.416625976
117;2.797786951;-0.410716962;0.154668736;1613.395019531
118;2.814296913;-0.410716962;0.146786079;1610.139282226
119;2.807092475;-0.414237308;0.151641869;1625.707519531
120;2.810496520;-0.405215311;0.146398138;1611.109375000
121;2.802958297;-0.402948760;0.149021043;1609.111816406
122;2.798972368;-0.397446155;0.148628449;1610.216308593
123;2.808564376;-0.401983833;0.146012248;1615.219970703
124;2.816025543;-0.397446155;0.140773878;1607.075805664
125;2.800613880;-0.391008281;0.145246505;1617.563232421
126;2.802300262;-0.386453247;0.142641663;1610.600341796
127;2.800236892;-0.383247356;0.142268395;1614.902954101
128;2.790148019;-0.377766633;0.144488677;1617.399902343
129;2.804033279;-0.380050182;0.139303504;1618.216186523
130;2.803714561;-0.373187184;0.136708068;1608.593017578
131;2.797713041;-0.372291135;0.138940679;1616.871704101
132;2.801588535;-0.369112157;0.135997414;1620.319335937
133;2.793371677;-0.366821098;0.138579713;1618.513916015
134;2.805528163;-0.365942096;0.133067262;1623.824951171
135;2.792821884;-0.359058284;0.135644841;1616.487548828
136;2.790561914;-0.355898737;0.135294055;1621.078369140
137;2.788273811;-0.352748370;0.134945094;1625.707519531
138;2.794531106;-0.353596806;0.132722997;1617.371215820
139;2.798106431;-0.342693924;0.126918292;1619.484130859
140;2.806855964;-0.345002150;0.124354994;1621.193603515
141;2.784458637;-0.334938311;0.129147291;1620.012207031
142;2.813190460;-0.336443996;0.118611598;1626.312500000
143;2.799529075;-0.329502344;0.121165215;1619.512817382
144;2.711065530;-0.335638523;0.158856821;1650.332031250
145;2.797118902;-0.326394462;0.120855176;1624.410766601
146;2.790372371;-0.325611543;0.123085963;1632.766357421
147;2.801495552;-0.323296165;0.118005871;1628.454101562
148;2.794086694;-0.316328477;0.118005871;1621.049438476
149;2.801064968;-0.316328477;0.115463519;1620.175537109
150;2.793469429;-0.307102394;0.114585375;1635.388427734
151;2.807794570;-0.307841086;0.109812868;1626.197021484
152;2.800613880;-0.307102394;0.112060523;1634.533569335
153;2.798053979;-0.304046440;0.111777043;1639.681274414
154;2.794847488;-0.295440816;0.109534252;1622.029174804
155;2.792141437;-0.292392683;0.109257054;1627.272949218
156;2.787434577;-0.294022674;0.111494982;1637.923828125
157;2.802300262;-0.294022674;0.106466126;1636.271972656
158;2.786606311;-0.286326265;0.108706819;1637.875732421
159;2.804136753;-0.281648616;0.101176190;1631.066406250
160;2.791426181;-0.283307981;0.105931091;1642.418334960
161;2.806855964;-0.283307981;0.100921773;1640.843261718
162;2.798568725;-0.274969673;0.100416791;1649.515747070
163;2.787767648;-0.272634959;0.102909731;1648.151977539
164;2.800874233;-0.270297169;0.097922592;1644.492797851
165;2.784816026;-0.269650483;0.102652990;1653.664550781
166;2.792071580;-0.263265705;0.097922592;1638.240600585
167;2.781816959;-0.267314767;0.102652990;1651.561279296
168;2.797374010;-0.259666204;0.094951715;1650.744873046
169;2.802798271;-0.256708335;0.092237529;1655.671997070
170;2.779633998;-0.251422619;0.096951932;1660.829345703
171;2.784972667;-0.249081802;0.094480953;1658.121093750
172;2.787212848;-0.244391822;0.092008800;1653.520751953
173;2.783929586;-0.242042660;0.092008800;1651.609619140
174;2.783929586;-0.241463732;0.091781215;1659.321533203
175;2.777185201;-0.236201810;0.091554737;1663.287841796
176;2.773720979;-0.233855009;0.091554737;1661.434326171
177;2.775845527;-0.229153490;0.089093542;1657.083740234
178;2.785155773;-0.228605866;0.086417884;1664.152221679
179;2.797902107;-0.230952692;0.083960580;1665.304687500
180;2.774418830;-0.221550035;0.086417884;1658.822021484
181;2.774418830;-0.221020674;0.086205568;1666.591674804
182;2.766911506;-0.215798401;0.085994300;1670.922973632
183;2.782822132;-0.213447070;0.081102495;1667.916992187
184;2.785373210;-0.208239078;0.078462672;1671.758544921
185;2.792821645;-0.213447070;0.078655128;1667.292724609
186;2.771269321;-0.206378769;0.081102495;1662.932495117
187;2.777613878;-0.203045225;0.078271145;1676.320434570
188;2.788050651;-0.203530454;0.076020298;1667.888061523
189;2.780151844;-0.198338088;0.075834684;1672.526855468
190;2.784142971;-0.200215101;0.075649971;1681.958129882
191;2.790864944;-0.198338088;0.073397331;1671.941040039
192;2.793825626;-0.193160285;0.070786180;1676.109375000
193;2.771908521;-0.192700748;0.075466160;1685.127441406
194;2.763298749;-0.187997331;0.075466160;1682.092529296
195;2.770074844;-0.186085948;0.073218498;1672.152465820
196;2.777066707;-0.182849416;0.070442862;1685.866943359
197;2.784284114;-0.180495758;0.068021416;1683.869262695
198;2.782822132;-0.173010158;0.065440411;1687.009765625
199;2.775337219;-0.175364437;0.067856826;1688.930541992
